Unterstrichen,Kursiv,Fett,Name
n,n,j,brand
n,n,j,brennend
n,n,j,brennende
n,n,j,brennenden
n,n,j,brennender
n,n,j,brennendes
n,n,j,erstarren
n,n,j,erstarrt
n,n,j,erstarrte
n,n,j,erstarrten
n,n,j,erstarrtes
n,n,j,erstarrter
n,n,j,vortex
n,n,j,schock
n,n,j,geschockt
n,n,j,geschockte
n,n,j,geschocktes
n,n,j,geschockter
n,n,j,geschockten
n,n,j,regeneration
n,n,j,regeneriert
n,n,j,regenerierte
n,n,j,regeneriertes
n,n,j,regenerierter
n,n,j,regenerieren
n,n,j,regenerierend
n,n,j,regenerierende
n,n,j,regenerierender
n,n,j,regenerierendes
n,n,j,regenerierenden
n,n,j,lebensregeneration
n,n,j,kontrolle
n,n,j,kontrolliert
n,n,j,kontrollierte
n,n,j,kontrolliertes
n,n,j,kontrollierter
n,n,j,kontrollierten
n,n,j,ziel
n,n,j,ziele
n,n,j,zielen
n,n,j,ziels
n,n,j,Aufheben
n,n,j,Aufhebung
n,n,j,aufheben
n,n,j,aufgehoben
n,n,j,aufhebung
n,n,j,wucht
n,n,j,Vergessen
n,n,j,vergessen
n,n,j,vergesst
n,n,j,vergisst
n,n,j,vergessene
n,n,j,vergessener
n,n,j,vergessenes
n,n,j,vergessenen
n,n,j,Flächenwirkung
n,n,j,flächenwirkung
n,n,j,penetrieren
n,n,j,verbannen
n,n,j,verbannt
n,n,j,verbannend
n,n,j,verbannende
n,n,j,verbannendes
n,n,j,verbannenden
n,n,j,verbannender
n,n,j,verbannte
n,n,j,verbanntes
n,n,j,verbannter
n,n,j,verbannten
n,n,j,verbannung
n,n,j,verbannungen
n,n,j,heilig
n,n,j,heilige
n,n,j,heiliger
n,n,j,heiliges
n,n,j,heiligen
n,n,j,stürmen
n,n,j,verlagern
n,n,j,folgeangriff
n,n,j,folgeangriffe
n,n,j,folgeangriffen
n,n,j,folgeangriffs
n,n,j,gegenangriff
n,n,j,gegenangriffe
n,n,j,gegenangriffen
n,n,j,gegenangriffs
n,n,j,flankieren
n,n,j,kritisch
n,n,j,kritischer
n,n,j,kritische
n,n,j,kritisches
n,n,j,kritischen
n,n,j,kritischer Treffer
n,n,j,kritischen Treffer
n,n,j,kritischen Treffern
n,n,j,kritischen Treffers
n,n,j,kritische Treffer
n,n,j,undurchdringlich
n,n,j,deckung +1
n,n,j,deckung +2
n,n,j,deckung +3
n,n,j,deckung +4
n,n,j,deckung +5
n,n,j,deckung +6
n,n,j,auslöser-Fähigkeit
n,n,j,auslöser-Fähigkeiten
n,n,j,passive Fähigkeit
n,n,j,passive Fähigkeiten
n,n,j,passiven Fähigkeit
n,n,j,passiven Fähigkeiten
n,n,j,bruch
n,n,j,kritischer Bruch
n,n,j,bruchs
n,n,j,brüche
n,n,j,brüchen
n,n,j,kritische Brüche
n,n,j,kritischen Brüchen
n,n,j,gebrochen
n,n,j,gebrochene
n,n,j,gebrochenes
n,n,j,gebrochenen
n,n,j,gebrochener
n,n,j,enthüllungs-Fähigkeit
n,n,j,enthüllungs-Fähigkeiten
n,n,j,andauernde Fähigkeit
n,n,j,andauernde Fähigkeiten
n,n,j,andauernden Fähigkeiten
n,n,j,andauernden Fähigkeit
n,n,j,andauernde Effekte
n,n,j,andauernden Effekte
n,n,j,andauernden Effekten
n,n,j,andauernder Effekte
n,n,j,andauernder Effekt
n,n,j,modifikation
n,n,j,modifikationen
n,n,j,modifizieren
n,n,j,modifizierend
n,n,j,modifizierende
n,n,j,modifizierendes
n,n,j,modifizierender
n,n,j,modifizierenden
n,n,j,modifiziert
n,n,j,modifizierte
n,n,j,modifiziertes
n,n,j,modifizierter
n,n,j,modifizierten
n,n,j,modifizierung
n,n,j,modifizierungen
n,n,j,synchronzauber
n,n,j,synchronzaubern
n,n,j,synchronzaubers
n,n,j,synchronisieren
n,n,j,synchronisierend
n,n,j,synchronisierende
n,n,j,synchronisierendes
n,n,j,synchronisierender
n,n,j,synchronisierenden
n,n,j,synchronisiert
n,n,j,synchronisierte
n,n,j,synchronisierter
n,n,j,synchronisiertes
n,n,j,synchronisierten
n,n,j,standardangriff
n,n,j,standardangriffe
n,n,j,standardangriffen
n,n,j,standardangriffs
n,n,j,bewegung
n,n,j,bewegungen
n,n,j,bewegt
n,n,j,bewegen
n,n,j,bewegend
n,n,j,bewegende
n,n,j,bewegenden
